block_raw,block_matched,row_number,side,structure,variety_raw,variety_matched,variety_id,rootstock_raw,rootstock_matched,rootstock_id,planting_year,tree_count,length_m,area_m2
GS/PL Trellis,GSPL Granny Smith,3,,PORTION,G/S,Granny Smith,c12ba571-815f-4c41-afae-57d07475c392,104,MM.104,aaad9070-e35e-41e4-aa2d-5955c6db065a,1996,346,173,778.5
GS/PL Trellis,GSPL Granny Smith,4,,PORTION,G/S,Granny Smith,c12ba571-815f-4c41-afae-57d07475c392,104,MM.104,aaad9070-e35e-41e4-aa2d-5955c6db065a,1996,344,172,774
GS/PL Trellis,GSPL Granny Smith,5,,PORTION,G/S,Granny Smith,c12ba571-815f-4c41-afae-57d07475c392,104,MM.104,aaad9070-e35e-41e4-aa2d-5955c6db065a,1996,344,172,774
GS/PL Trellis,GSPL Granny Smith,6,,PORTION,G/S,Granny Smith,c12ba571-815f-4c41-afae-57d07475c392,104,MM.104,aaad9070-e35e-41e4-aa2d-5955c6db065a,1996,342,171,769.5
GS/PL Trellis,GSPL Pink Lady,7,,PORTION,P/L,Pink Lady,23ee67fb-37d2-442b-ab9d-d9ddeaa4b7d8,104,MM.104,aaad9070-e35e-41e4-aa2d-5955c6db065a,2001,342,171,855
GS/PL Trellis,GSPL Granny Smith,8,,PORTION,G/S,Granny Smith,c12ba571-815f-4c41-afae-57d07475c392,104,MM.104,aaad9070-e35e-41e4-aa2d-5955c6db065a,1996,340,170,850
GS/PL Trellis,GSPL Granny Smith,9,,PORTION,G/S,Granny Smith,c12ba571-815f-4c41-afae-57d07475c392,104,MM.104,aaad9070-e35e-41e4-aa2d-5955c6db065a,1996,321,170,765
GS/PL Trellis,GSPL Granny Smith,10,,PORTION,G/S,Granny Smith,c12ba571-815f-4c41-afae-57d07475c392,104,MM.104,aaad9070-e35e-41e4-aa2d-5955c6db065a,1996,340,170,765
GS/PL Trellis,GSPL Granny Smith,11,,PORTION,G/S,Granny Smith,c12ba571-815f-4c41-afae-57d07475c392,104,MM.104,aaad9070-e35e-41e4-aa2d-5955c6db065a,1996,340,170,765
GS/PL Trellis,GSPL Pink Lady,12,,PORTION,P/L,Pink Lady,23ee67fb-37d2-442b-ab9d-d9ddeaa4b7d8,104,MM.104,aaad9070-e35e-41e4-aa2d-5955c6db065a,,340,170,850
GS/PL Trellis,GSPL Granny Smith,13,,PORTION,G/S,Granny Smith,c12ba571-815f-4c41-afae-57d07475c392,104,MM.104,aaad9070-e35e-41e4-aa2d-5955c6db065a,1996,340,170,850
GS/PL Trellis,GSPL Granny Smith,14,,PORTION,G/S,Granny Smith,c12ba571-815f-4c41-afae-57d07475c392,104,MM.104,aaad9070-e35e-41e4-aa2d-5955c6db065a,1996,327,170,765
GS/PL Trellis,GSPL Granny Smith,15,,PORTION,G/S,Granny Smith,c12ba571-815f-4c41-afae-57d07475c392,104,MM.104,aaad9070-e35e-41e4-aa2d-5955c6db065a,1996,340,170,765
GS/PL Trellis,GSPL Granny Smith,16,,PORTION,G/S,Granny Smith,c12ba571-815f-4c41-afae-57d07475c392,104,MM.104,aaad9070-e35e-41e4-aa2d-5955c6db065a,1996,338,169,760.5
GS/PL Trellis,GSPL Pink Lady,17,,PORTION,P/L,Pink Lady,23ee67fb-37d2-442b-ab9d-d9ddeaa4b7d8,109,MM.109,cff3de27-0bde-4a1d-879c-6ccc107111e3,1997,340,170,850
