block_raw,block_matched,block_id,row_number,side,row_length_m,row_width_m,structure
GS/PL Trellis,GSPL Granny Smith,6cf24a54-480f-4a38-9993-10cd06563dbc,25,,167,5,PORTION
GS/PL Trellis,GSPL Granny Smith,6cf24a54-480f-4a38-9993-10cd06563dbc,26,,167,5,PORTION
GS/PL Trellis,GSPL Pink Lady,27f226ec-a67d-4228-9dbf-d2d4843065bf,27,,167,5,PORTION
GS/PL Trellis,GSPL Granny Smith,6cf24a54-480f-4a38-9993-10cd06563dbc,28,,167,5,PORTION
GS/PL Trellis,GSPL Granny Smith,6cf24a54-480f-4a38-9993-10cd06563dbc,29,,167,5,PORTION
GS/PL Trellis,GSPL Granny Smith,6cf24a54-480f-4a38-9993-10cd06563dbc,30,,167,5,PORTION
GS/PL Trellis,GSPL Granny Smith,6cf24a54-480f-4a38-9993-10cd06563dbc,31,,167,5,PORTION
GS/PL Trellis,GSPL Granny Smith,6cf24a54-480f-4a38-9993-10cd06563dbc,32,,166,5,PORTION
GS/PL Trellis,GSPL Pink Lady,27f226ec-a67d-4228-9dbf-d2d4843065bf,33,,166,5,PORTION
GS/PL Trellis,GSPL Pink Lady,27f226ec-a67d-4228-9dbf-d2d4843065bf,34,,166,5,PORTION
GS/PL Trellis,GSPL Pink Lady,27f226ec-a67d-4228-9dbf-d2d4843065bf,35,,166,5,PORTION
Lady In Red,Lady In Red,6a6dcd51-e140-47a8-affa-caf44134d525,1,,187,3,PORTION
Lady In Red,Lady In Red,6a6dcd51-e140-47a8-affa-caf44134d525,2,,187,3,PORTION
Lady In Red,Lady In Red,6a6dcd51-e140-47a8-affa-caf44134d525,3,,187,3,PORTION
Lady In Red,Lady In Red,6a6dcd51-e140-47a8-affa-caf44134d525,4,,187,3,PORTION
Lady In Red,Lady In Red,6a6dcd51-e140-47a8-affa-caf44134d525,5,,187,3,PORTION
Lady In Red,Lady In Red,6a6dcd51-e140-47a8-affa-caf44134d525,6,,187,3,PORTION
Lady In Red,Lady In Red,6a6dcd51-e140-47a8-affa-caf44134d525,7,,187,3,PORTION
Lady In Red,Lady In Red,6a6dcd51-e140-47a8-affa-caf44134d525,8,,211.32,3,PORTION
Lady In Red,Lady In Red,6a6dcd51-e140-47a8-affa-caf44134d525,9,,210.08,3,PORTION
Lady In Red,Lady In Red,6a6dcd51-e140-47a8-affa-caf44134d525,10,,208.84,3,PORTION
Lady In Red,Lady In Red,6a6dcd51-e140-47a8-affa-caf44134d525,11,,207.6,3,PORTION
Lady In Red,Lady In Red,6a6dcd51-e140-47a8-affa-caf44134d525,12,,206.36,3,PORTION
